ps3 sprite file, ps3 image, ryukishi best match, count of best match, confidence,all matches,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
wata_003.txt,ma_g1_01,ma_g1,1,100%,1:ma_g1,,,,,,,,,,,,,,,
_tsum_022.txt,ma_g2,ma_g2,5,100%,5:ma_g2,,,,,,,,,,,,,,,
_mina_011_2.txt,ma_g3,ma_g3,5,83%,5:ma_g3,1:ma_g2,,,,,,,,,,,,,,
_tsum_019.txt,ma_g3_01,ma_g3,17,85%,17:ma_g3,2:ma_g1,1:bg_210,,,,,,,,,,,,,
onik_014_02.txt,ma_g3_02,ma2,1,100%,1:ma2,,,,,,,,,,,,,,,
_tsum_022.txt,ma_j3,ma_j1,9,60%,9:ma_j1,3:ma_j3,2:ma_j2,1:ribing1,,,,,,,,,,,,
_tsum_023_1.txt,ma_j3_01,ma_j1,18,42%,18:ma_j1,14:ma_j3,11:ma_j2,,,,,,,,,,,,,
tata_009_02.txt,ma_j3_03,NO_MATCH,0,0%,,,,,,,,,,,,,,,,
wata_003.txt,ma_j3_05,ma_j2,3,50%,3:ma_j2,2:ma_j1,1:ma_j3,,,,,,,,,,,,,
_mina_011_2.txt,ma_s1,ribing1,37,51%,37:ribing1,28:bg_210,3:ma_s1,2:bg_116,1:ma_j1,1:ma_j3,1:ma_d1,,,,,,,,,
_tsum_019.txt,ma_s1_01,ma_s1,1,100%,1:ma_s1,,,,,,,,,,,,,,,
_mats_010.txt,mati12,mati12,9,90%,9:mati12,1:mati9,,,,,,,,,,,,,,
_mina_019.txt,mati2,mati2,22,73%,22:mati2,5:mati1,1:re3,1:hi6,1:mati10,,,,,,,,,,,
_mina_008.txt,mati2_01,mati6,1,50%,1:mati6,1:mati4,,,,,,,,,,,,,,
_kakera42.txt,mati2_04,mati14,1,100%,1:mati14,,,,,,,,,,,,,,,
_mats_017.txt,mati3,mati3,12,71%,12:mati3,3:mati1,1:mati5,1:mati4,,,,,,,,,,,,
_mina_008.txt,mati3_01,mati3,2,50%,2:mati3,1:mati1,1:mati5,,,,,,,,,,,,,
_kakera42.txt,mati3_04,mati9,1,100%,1:mati9,,,,,,,,,,,,,,,
_mats_020.txt,mati4,mati4,11,55%,11:mati4,4:mati1,2:mati11,1:mati7,1:mati3,1:mati17,,,,,,,,,,
_mina_012.txt,mati4_01,kouen,3,75%,3:kouen,1:mati4,,,,,,,,,,,,,,
_kakera42.txt,mati4_04,mati15,1,100%,1:mati15,,,,,,,,,,,,,,,
_mats_012.txt,mati7,bg_237,4,40%,4:bg_237,2:mati7,1:bg_168,1:bg_135,1:mati9,1:mati14,,,,,,,,,,
_mina_019.txt,mati_ji1,mati_ji2,6,46%,6:mati_ji2,6:mati_ji1,1:mati_ji3,,,,,,,,,,,,,
_mats_020.txt,mati_o1,mati_o1,24,83%,24:mati_o1,2:mati5,1:sora,1:mati_o6,1:mati16,,,,,,,,,,,
_mina_008.txt,mati_o1_01,mati_o1,1,100%,1:mati_o1,,,,,,,,,,,,,,,
_mina_008.txt,mati_o2,mati_o2,15,50%,15:mati_o2,7:bg_155,3:mati_o5,3:mati_o3,2:mati_o4,,,,,,,,,,,
_mina_008.txt,mati_o4,mati_o5,31,53%,31:mati_o5,24:mati_o4,2:jansou2,1:mati_o3,,,,,,,,,,,,
_kakera46.txt,mati_o6,mati_o6,4,100%,4:mati_o6,,,,,,,,,,,,,,,
_mats_024.txt,mo1,mo1,29,91%,29:mo1,1:hi1,1:simen2,1:sora4,,,,,,,,,,,,
tata_011_02.txt,mo1_01,mo1,6,86%,6:mo1,1:ymo1,,,,,,,,,,,,,,
_mats_024.txt,mo1_02,mo1,3,75%,3:mo1,1:ymo1,,,,,,,,,,,,,,
_mats_024.txt,mo2,mo2,17,57%,17:mo2,10:mo8,1:mo3,1:mo6,1:mo4,,,,,,,,,,,
onik_015_02.txt,mo2_01,mo2,2,100%,2:mo2,,,,,,,,,,,,,,,
_mats_024.txt,mo2_02,mo2,5,50%,5:mo2,4:mo8,1:mo4,,,,,,,,,,,,,
_mats_025.txt,mo3,mo3,12,41%,12:mo3,10:mo6,3:mo2,2:sora,1:mo4,1:mo8,,,,,,,,,,
_tsum_010.txt,mo3_01,mo3,3,75%,3:mo3,1:mo2,,,,,,,,,,,,,,
_mats_024.txt,mo3_02,mo3,7,78%,7:mo3,1:mo4,1:mo6,,,,,,,,,,,,,
_mats_024.txt,mo4,mo4,9,100%,9:mo4,,,,,,,,,,,,,,,
onik_015_02.txt,mo4_01,mo4,1,100%,1:mo4,,,,,,,,,,,,,,,
_mats_024.txt,mo4_02,mo4,8,100%,8:mo4,,,,,,,,,,,,,,,
_mats_006.txt,mo4_04,mo4,3,100%,3:mo4,,,,,,,,,,,,,,,
hima_002.txt,mo_b1,sora,2,50%,2:sora,1:bg_092,1:sora3,,,,,,,,,,,,,
_mats_023.txt,mo_g1,mo_g1,5,62%,5:mo_g1,1:hi3,1:mo_g4,1:mo_g5,,,,,,,,,,,,
_tsum_op.txt,mo_g1_01,mo_g1,5,56%,5:mo_g1,4:mo_g4,,,,,,,,,,,,,,
_tsum_010.txt,mo_g2,mo_g2,2,67%,2:mo_g2,1:mo_g4,,,,,,,,,,,,,,
onik_003.txt,mo_g2_01,mo_g2,1,100%,1:mo_g2,,,,,,,,,,,,,,,
_tsum_008.txt,mo_g3_01,mo_g4,2,67%,2:mo_g4,1:mo_g3,,,,,,,,,,,,,,
_tsum_018.txt,mo_r1,mo_r1,2,100%,2:mo_r1,,,,,,,,,,,,,,,
_tsum_010.txt,mo_r1_01,mo_r1,3,75%,3:mo_r1,1:mo_r2,,,,,,,,,,,,,,
_tsum_005.txt,mo_r1_02,mo_r1,1,50%,1:mo_r1,1:mo_r2,,,,,,,,,,,,,,
_tsum_020.txt,mo_r1_03,mo_r1,2,50%,2:mo_r1,1:mo_yg1,1:mo_yg4,,,,,,,,,,,,,
_tsum_021.txt,mo_yg1,mo_yg4,9,60%,9:mo_yg4,6:mo_yg1,,,,,,,,,,,,,,
_kakera23.txt,mob1_01,mo_b1,4,57%,4:mo_b1,1:m_hi9,1:hi9,1:benti2,,,,,,,,,,,,
_mats_025.txt,moon,moon,114,92%,114:moon,2:sora,2:sora6,1:m_y3,1:y_ie2,1:sora2,1:gy6,1:gy8,1:gy7,,,,,,,
_mina_ep.txt,moon_01,NO_MATCH,0,0%,,,,,,,,,,,,,,,,
_mats_024.txt,negative/fure1,NO_MATCH,0,0%,,,,,,,,,,,,,,,,
_kakera51.txt,neki1_02,mati14,2,40%,2:mati14,1:mati9,1:mati13,1:mati15,,,,,,,,,,,,
_mina_tips_012.txt,nort,nort,2,67%,2:nort,1:nort2,,,,,,,,,,,,,,
_mats_017.txt,ohaka_02,so3,2,67%,2:so3,1:sora4,,,,,,,,,,,,,,
_mats_017.txt,oki_g3,oki_g3,22,47%,22:oki_g3,21:oki_g2,2:oki_g1,2:kouen,,,,,,,,,,,,
_tsum_tips_014.txt,oni1,oni2,3,60%,3:oni2,1:hi2,1:oni1,,,,,,,,,,,,,
_tsum_013.txt,oyashirosama,NO_MATCH,0,0%,,,,,,,,,,,,,,,,
_mats_006.txt,re_g1,re_g1,7,70%,7:re_g1,1:re_s2_rena,1:si_h2,1:re_h3,,,,,,,,,,,,
_mats_006.txt,re_h1,re_h1,11,85%,11:re_h1,1:si_h6,1:re_h2,,,,,,,,,,,,,
_tsum_018.txt,re_h3,re_h3,7,88%,7:re_h3,1:re_h2,,,,,,,,,,,,,,
_tsum_018.txt,re_s2,re_s2_rena,6,50%,6:re_s2_rena,3:re_s1_rena,1:sora,1:re_h2,1:si_d1,,,,,,,,,,,
_tsum_009.txt,re_s4,re_s4,1,100%,1:re_s4,,,,,,,,,,,,,,,
_kakera37.txt,re_s4_01,re_s3,2,50%,2:re_s3,1:re_s1_rena,1:re_s4,,,,,,,,,,,,,
_mats_016.txt,re_tel,re_tel,26,81%,26:re_tel,3:so_g1,2:si_h2,1:re_h2,,,,,,,,,,,,
