PS3 Background,Match 1,Match 2,Match3,Comment
sinryou_sinsatu1,bg_186,,,
sinryou_sinsatu1_02,bg_186,,,
sinryou_sinsatu2,bg_186,,,
sinryou_sinsatu4,bg_089,,,
sinryou_soto1,bg_187,,,
sinryou_soto1_01,bg_187,,,
sinryou_soto1_02,bg_187,,,
sinryou_soto3,bg_188,,,Maybe?
so_chikafuroa,bg_178,,,
so_d1,bg_194,,,
so_d1_01,bg_194,,,
so_g1,bg_195,,,
so_k1,bg_196,,,
so1,bg_198,,,
so1_02,bg_198,,,
so2,bg_199,,,
so2_01,bg_199,,,
so3,bg_200,,,
sora,bg_203,,,
sora,bg_204,,,
sora2,bg_205,,,
sora5,bg_205,,,
sora6,bg_205,,,
susuki,bg_107,,,
ta1,bg_214,,,
ta2,bg_215,,,
tegami1,bg_219,,,
tegami2,bg_220,,,
tegami3,bg_221,,,
tennai1,bg_222,,,
torishirabeshitu,bg_171,,,
tosyo1,bg_227,,,
tosyo2,bg_228,,,
y_damu2,bg_239,,,
y_ie1,bg_242,,,
y_kawa3,bg_247,,,
y_oni1,bg_259,,,
y_oni1_01,bg_259,,,
yhu2,bg_241,,,
ymo1_01,bg_256,,,
ymo2_01,bg_256,,,
ymo3_01,bg_258,,,
yugk3_01,bg_110,,,
001a,bg_110,,,These 2 might be a problems since they are used in very different scenes sometimes iirc?
001b,bg_110,,,
002a,bg_040,,,
002b,bg_040,,,
003,bg_210,,,
004,bg_041,,,
004b,bg_041,,,
006,bg_153,,,
008,bg_110,,,
009b,bg_124,,,
010,bg_210,,,
011d,bg_262,,,
011e,bg_262,,,
011f,bg_262,,,
025,bg_031,,,
029,bg_177,,,
031,bg_082,,,
033a,bg_022,,,
033b,bg_022,,,
033c,bg_022,,,
033d,bg_022,,,
038a,bg_071,,,
038b,bg_071,,,
038c,bg_071,,,
043a,bg_108,,,
043b,bg_108,,,
046,bg_150,,,
101,bg_052,,,
102,bg_040,,,This one might be a problem two since it’s used in multiple different places
103a,bg_247,,,
103b,bg_247,,,
104,bg_081,,,
105a,bg_020,,,
105b,bg_020,,,
106,bg_177,,,
107a,bg_186,,,
107b,bg_186,,,
107c,bg_186,,,
108,bg_110,,,
109b,bg_150,,,
109e,bg_150,,,
110a,bg_077,,,No direct match for those 2
110b,bg_077,,,
111a,bg_118,,,
111b,bg_118,,,
113a,bg_075,,,
113b,bg_075,,,
114,t_ep8,t_ep8_j,,This cg is replaced by text backgrounds and might cause issues
115,bg_077,,,
201a,bg_046,,,
201b,bg_046,,,
201c,black,,,
202,bg_216,,,
203a,bg_069,,,
203b,bg_069,,,
eye,bg_018,,,
sil1a,bg_177,,,
