ps3 sprite file, source image, count of best match, confidence,all matches,match,match,match,match,match,match,match,match,match,match,match,match
, si_si_wa_a1, 9, 47%, 9:sprite/night/si1a_warai_a1_, 6:sprite/normal/si1a_warai_a1_, 2:sprite/sunset/si1a_warai_a1_, 1:sprite/normal/re1a_hau_a1_, 1:portrait/night/si1a_warai_a1_, , , , , , , , 
, si_si_wi_a1, 9, 39%, 9:sprite/night/si1a_wink_a1_, 6:sprite/normal/si1a_wink_a1_, 3:sprite/sunset/si1a_wink_a1_, 2:portrait/night/si1b_wink_b1_, 1:sprite/flashback/si1a_wink_a1_, 1:portrait/normal/si1b_wink_b1_, 1:portrait/night/si1a_wink_a1_, , , , , , 
, sa_se_bi_b1, 8, 73%, 8:sprite/normal/sa1b_odoroki_b1_, 2:sprite/normal/sa1a_akuwarai_a1_, 1:portrait/normal/sa1b_odoroki_b1_, , , , , , , , , , 
, re_se_ko_b1, 8, 67%, 8:sprite/normal/re1b_komaru_b1_, 3:sprite/normal/re1b_komaru_b2_, 1:sprite/normal/re1a_komaru_a2_, , , , , , , , , , 
, me_se_aw_b2, 8, 100%, 8:sprite/normal/me1b_akuwarai_a1_, , , , , , , , , , , , 
, me_se_th_a1, 8, 80%, 8:sprite/normal/me1a_tohoho_a1_, 1:sprite/flashback/me1b_odoroki_a1_, 1:sprite/normal/me1a_yowaki_a1_, , , , , , , , , , 
, me_si_to_a2, 8, 80%, 8:sprite/normal/me2_tokui_a1_, 1:sprite/night/me2_tokui_a1_, 1:portrait/night/me2_hig_maji_a1_, , , , , , , , , , 
, si_ma_bi_a1, 8, 100%, 8:sprite/normal/si2_odoroki_a1_, , , , , , , , , , , , 
, si_ma_yw_a1, 8, 100%, 8:sprite/normal/si2_yowaki_a1_, , , , , , , , , , , , 
, si_ma_ha_a1, 8, 89%, 8:sprite/normal/si2_hau_a1_, 1:sprite/flashback/si2_hau_a1_, , , , , , , , , , , 
, ri_mk_wa_a1, 8, 100%, 8:sprite/normal/ri5_warai_a1_, , , , , , , , , , , , 
, oi_yk_wa_a1, 7, 100%, 7:sprite/normal/oisi2_7_, , , , , , , , , , , , 
, me_se_th_a2, 7, 70%, 7:sprite/normal/me1a_tohoho_a1_, 1:sprite/normal/me1a_odoroki_a1_, 1:sprite/normal/me1a_yowaki_a1_, 1:sprite/normal/me1b_akuwarai_a1_, , , , , , , , , 
, sa_se_aw_b1, 7, 88%, 7:sprite/normal/sa1b_akuwarai_b1_, 1:portrait/normal/sa1b_akuwarai_b1_, , , , , , , , , , , 
, re_si_ha_b1, 7, 88%, 7:sprite/normal/re2b_hau_b1_, 1:sprite/night/re2b_hau_b1_, , , , , , , , , , , 
, re_si_de_b1, 7, 64%, 7:sprite/normal/re2b_def_b1_, 2:sprite/night/re2b_def_b1_, 1:sprite/sunset/re2b_def_b1_, 1:portrait/night/re2a_def_a1_, , , , , , , , , 
, re_ta_de_a1, 7, 100%, 7:sprite/normal/re3a_def_a1_, , , , , , , , , , , , 
, me_se_wi_b1, 7, 100%, 7:sprite/normal/me1b_wink_a1_, , , , , , , , , , , , 
, me_se_de_b2, 7, 100%, 7:sprite/normal/me1b_def_a1_, , , , , , , , , , , , 
, si_si_aw_a1, 7, 44%, 7:sprite/night/si1a_akuwarai_a1_, 5:sprite/normal/si1a_akuwarai_a1_, 2:sprite/sunset/si1a_akuwarai_a1_, 1:portrait/normal/si1a_akuwarai_a1_, 1:portrait/night/si1a_akuwarai_a1_, , , , , , , , 
, si_si_wi_b1, 6, 46%, 6:sprite/normal/si1b_wink_b1_, 3:sprite/night/si1a_wink_a1_, 3:sprite/night/si1b_wink_b1_, 1:sprite/normal/si1a_wink_a1_, , , , , , , , , 
, me_se_th_b1, 6, 100%, 6:sprite/normal/me1b_tohoho_a1_, , , , , , , , , , , , 
, me_si_aw_a1, 6, 60%, 6:sprite/normal/me2_akuwarai_a1_, 2:sprite/night/me2_akuwarai_a1_, 1:sprite/normal/me2_huteki_a1_, 1:portrait/night/me2_akuwarai_a1_, , , , , , , , , 
, me_si_th_a1, 6, 60%, 6:sprite/normal/me2_tohoho_a1_, 1:sprite/flashback/me2_tohoho_a1_, 1:sprite/normal/me2_ikari_a1_, 1:sprite/normal/me2_odoroki_a1_, 1:sprite/night/me2_yowaki_a1_, , , , , , , , 
, me_si_fu_a1, 6, 75%, 6:sprite/normal/me2_huteki_a1_, 2:sprite/night/me2_huteki_a1_, , , , , , , , , , , 
, re_si_ka_a1, 6, 86%, 6:sprite/normal/re2a_kaii_a1_, 1:sprite/sunset/re2a_kaii_a1_, , , , , , , , , , , 
, re_si_ko_b1, 6, 100%, 6:sprite/normal/re2b_komaru_b1_, , , , , , , , , , , , 
, me_ta_de_a1, 6, 100%, 6:sprite/normal/me3_def_a1_, , , , , , , , , , , , 
, sa_ta_bi_a1, 6, 100%, 6:sprite/normal/sa3_odoroki_a1_, , , , , , , , , , , , 
, me_si_fu_a2, 6, 86%, 6:sprite/normal/me2_huteki_a1_, 1:sprite/normal/me2_akuwarai_a1_, , , , , , , , , , , 
, me_si_bi_a2, 6, 67%, 6:sprite/normal/me2_odoroki_a1_, 2:sprite/sunset/me2_odoroki_a1_, 1:sprite/normal/me2_yowaki_a1_, , , , , , , , , , 
, me_se_wa_b1, 6, 100%, 6:sprite/normal/me1b_warai_a1_, , , , , , , , , , , , 
, re_se_na_b1, 6, 86%, 6:sprite/normal/re1b_nande_b1_, 1:sprite/sunset/re1b_nande_b1_, , , , , , , , , , , 
, ri_si_fu_a1, 5, 62%, 5:sprite/night/rim_majime_, 2:portrait/sunset/rim_majime_, 1:portrait/night/rim_def_, , , , , , , , , , 
, me_se_bi_a1, 5, 28%, 5:sprite/normal/me1a_odoroki_a1_, 2:sprite/normal/ri1_warai_a1_, 2:sprite/normal/si1a_akuwarai_a1_, 1:sprite/normal/re1a_warai_a1_, 1:sprite/normal/ri1_niko_a1_, 1:sprite/normal/re1a_komaru_a1_, 1:sprite/normal/re1b_def_b1_, 1:sprite/normal/ta1_warai_, 1:sprite/normal/tie_3_, 1:sprite/normal/me1a_ikari_a1_, 1:sprite/normal/iri1_majime2_, 1:sprite/normal/me1a_majime_a1_, 
, ta_si_aw_a1, 5, 71%, 5:sprite/night/ta1_akuwarai_, 1:sprite/normal/ta1_akuwarai_, 1:sprite/sunset/ta1_akuwarai_, , , , , , , , , , 
