ps3 sprite file, ps3 image, ryukishi best match, count of best match, confidence,all matches,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
,Ri_WaraiA1$,sprite/ri6_warai_a1_,4,100%,4:sprite/ri6_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ri_WaraiA1%,sprite/ri5_warai_a1_,4,100%,4:sprite/ri5_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ri_WaraiA1&,sprite/ri3_warai_a1_,4,100%,4:sprite/ri3_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ri_Waraia1#,sprite/ri2_warai_a1_,1,100%,1:sprite/ri2_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ri_defA1,sprite/ri1_def_a1_,2,100%,2:sprite/ri1_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ri_fumanA1,sprite/ri1_fuman_a1_,3,100%,3:sprite/ri1_fuman_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ri_komaruA1,sprite/ri1_komaru_a1_,1,100%,1:sprite/ri1_komaru_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ri_komaruA1%,sprite/ri5_komaru_a1_,1,100%,1:sprite/ri5_komaru_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ri_majimeA1,sprite/ri1_majime_a1_,4,100%,4:sprite/ri1_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ri_majimeA1#,sprite/ri2_majime_a1_,4,100%,4:sprite/ri2_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ri_waraiA1,sprite/ri1_warai_a1_,2,100%,2:sprite/ri1_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ri_waraiA1#,sprite/ri2_warai_a1_,1,100%,1:sprite/ri2_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ri_waraiA1$,sprite/ri6_warai_a1_,1,100%,1:sprite/ri6_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rina_Def,sprite/rina_def_,12,80%,12:sprite/rina_def_,2:sprite/rina_warai_,1:sprite/rina_ikari_,,,,,,,,,,,,,,,,,,,,,,,,
,Rina_Ikari,sprite/rina_ikari_,1,100%,1:sprite/rina_ikari_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rina_Warai,sprite/rina_warai_,11,85%,11:sprite/rina_warai_,2:sprite/rina_def_,,,,,,,,,,,,,,,,,,,,,,,,,
,Rina_warai,sprite/rina_warai_,2,67%,2:sprite/rina_warai_,1:sprite/rina_def_,,,,,,,,,,,,,,,,,,,,,,,,,
,SI_YowakiA1#,sprite/si1a_yowaki_a1_,1,100%,1:sprite/si1a_yowaki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_AKuwaraiB1#,sprite/sa2b_akuwarai_b1_,1,100%,1:sprite/sa2b_akuwarai_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_AkireruA1,sprite/sa1a_akireru_a1_,25,96%,25:sprite/sa1a_akireru_a1_,1:sprite/flashback/sa1a_akireru_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_AkireruA1#,sprite/sa2a_akireru_a1_,29,100%,29:sprite/sa2a_akireru_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_AkireruA1&,sprite/sa3_akireru_a1_,7,100%,7:sprite/sa3_akireru_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_AkireruA1-,sprite/sa6_akireru_a1_,3,100%,3:sprite/sa6_akireru_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_AkireruB1,sprite/sa1b_akireru_b1_,8,89%,8:sprite/sa1b_akireru_b1_,1:sprite/sa1a_akireru_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_AkireruB1#,sprite/sa2b_akireru_b1_,10,100%,10:sprite/sa2b_akireru_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_AkuwaraiA1,sprite/sa1a_akuwarai_a1_,12,100%,12:sprite/sa1a_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_AkuwaraiA1#,sprite/sa2a_akuwarai_a1_,11,100%,11:sprite/sa2a_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_AkuwaraiA1&,sprite/sa3_akuwarai_a1_,8,100%,8:sprite/sa3_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_AkuwaraiA1-,sprite/sa6_akuwarai_a1_,2,100%,2:sprite/sa6_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_AkuwaraiB1,sprite/sa1b_akuwarai_b1_,10,83%,10:sprite/sa1b_akuwarai_b1_,1:sprite/sa1b_def_b1_,1:sprite/sa1a_akireru_a1_,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_AkuwaraiB1#,sprite/sa2b_akuwarai_b1_,8,100%,8:sprite/sa2b_akuwarai_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_Akuwaraib1#,sprite/sa2b_akuwarai_b1_,1,100%,1:sprite/sa2b_akuwarai_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_DefA1,sprite/sa1a_def_a1_,10,100%,10:sprite/sa1a_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_DefA1#,sprite/sa2a_def_a1_,13,100%,13:sprite/sa2a_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_DefA1&,sprite/sa3_def_a1_,1,100%,1:sprite/sa3_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_DefB1,sprite/sa1b_def_b1_,3,100%,3:sprite/sa1b_def_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_DefB1#,sprite/sa2b_def_b1_,2,100%,2:sprite/sa2b_def_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_HannbesoA1,sprite/sa1a_hannbeso_a1_,5,71%,5:sprite/sa1a_hannbeso_a1_,2:sprite/sa2a_hannbeso_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_HannbesoA1#,sprite/sa2a_hannbeso_a1_,3,100%,3:sprite/sa2a_hannbeso_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_HannbesoA1&,sprite/sa3_hannbeso_a1_,1,100%,1:sprite/sa3_hannbeso_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_HannbesoA3,sprite/sa1a_hannbeso_a3_,1,100%,1:sprite/sa1a_hannbeso_a3_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_HannbesoA3#,sprite/sa2a_hannbeso_a3_,2,100%,2:sprite/sa2a_hannbeso_a3_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_HannbesoB1,sprite/sa1b_hannbeso_b1_,6,100%,6:sprite/sa1b_hannbeso_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_HannbesoB1#,sprite/sa2b_hannbeso_b1_,3,60%,3:sprite/sa2b_hannbeso_b1_,1:sprite/kei2_komaru_,1:sprite/sa2a_hannbeso_a1_,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_HannbesoB3,sprite/sa1b_hannbeso_b3_,1,100%,1:sprite/sa1b_hannbeso_b3_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_HauA1,sprite/sa1a_hau_a1_,1,100%,1:sprite/sa1a_hau_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_HauA1#,sprite/sa2a_hau_a1_,4,100%,4:sprite/sa2a_hau_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_HauA2,sprite/sa1a_hau_a2_,1,100%,1:sprite/sa1a_hau_a2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_HauA2#,sprite/sa2a_hau_a2_,1,100%,1:sprite/sa2a_hau_a2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_HauB1,sprite/sa1b_hau_b1_,1,100%,1:sprite/sa1b_hau_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_HauB1#,sprite/sa2b_hau_b1_,1,100%,1:sprite/sa2b_hau_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_MuhyouA1,sprite/sa1a_muhyou_a1_,9,100%,9:sprite/sa1a_muhyou_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_MuhyouA1#,sprite/sa2a_muhyou_a1_,5,100%,5:sprite/sa2a_muhyou_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_MuhyouA2,sprite/sa1a_muhyou_a2_,4,80%,4:sprite/sa1a_muhyou_a2_,1:sprite/sa2a_muhyou_a2_,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_MuhyouB1,sprite/sa1b_muhyou_b1_,4,80%,4:sprite/sa1b_muhyou_b1_,1:sprite/sa2b_muhyou_b1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_MuhyouB1#,sprite/sa2b_muhyou_b1_,2,100%,2:sprite/sa2b_muhyou_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_MuhyouB2,sprite/sa1b_muhyou_b2_,4,100%,4:sprite/sa1b_muhyou_b2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_NakuA1,sprite/sa1a_naku_a1_,2,67%,2:sprite/sa1a_naku_a1_,1:sprite/sa1b_naku_b1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_NakuB1,sprite/sa1b_naku_b1_,3,75%,3:sprite/sa1b_naku_b1_,1:sprite/sa2b_naku_b1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_OdorokiA1,sprite/sa1a_odoroki_a1_,17,94%,17:sprite/sa1a_odoroki_a1_,1:sprite/sa1a_yareyare_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_OdorokiA1#,sprite/sa2a_odoroki_a1_,17,94%,17:sprite/sa2a_odoroki_a1_,1:sprite/sa2b_def_b1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_OdorokiA1&,sprite/sa3_odoroki_a1_,4,100%,4:sprite/sa3_odoroki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_OdorokiA1-,sprite/sa6_odoroki_a1_,1,100%,1:sprite/sa6_odoroki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_OdorokiB1,sprite/sa1b_odoroki_b1_,19,100%,19:sprite/sa1b_odoroki_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_OdorokiB1#,sprite/sa2b_odoroki_b1_,18,86%,18:sprite/sa2b_odoroki_b1_,1:sprite/sa2b_yareyare_b1_,1:sprite/sa2a_odoroki_a1_,1:sprite/sa2b_def_b1_,,,,,,,,,,,,,,,,,,,,,,,
,Sa_SakebuA1,sprite/sa1a_sakebu_a1_,2,100%,2:sprite/sa1a_sakebu_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_SakebuB1,sprite/sa1b_sakebu_b1_,6,100%,6:sprite/sa1b_sakebu_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_WaraiA1,sprite/sa1a_warai_a1_,16,100%,16:sprite/sa1a_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_WaraiA1#,sprite/sa2a_warai_a1_,24,100%,24:sprite/sa2a_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_WaraiA1&,sprite/sa3_warai_a1_,5,100%,5:sprite/sa3_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_WaraiA1-,sprite/sa6_warai_a1_,1,100%,1:sprite/sa6_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_WaraiB1,sprite/sa1b_warai_b1_,17,100%,17:sprite/sa1b_warai_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_WaraiB1#,sprite/sa2b_warai_b1_,23,100%,23:sprite/sa2b_warai_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_YAreyareA1,sprite/sa1a_yareyare_a1_,3,100%,3:sprite/sa1a_yareyare_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_YareyareA1,sprite/sa1a_yareyare_a1_,12,86%,12:sprite/sa1a_yareyare_a1_,2:sprite/sa1a_akireru_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_YareyareA1#,sprite/sa2a_yareyare_a1_,5,100%,5:sprite/sa2a_yareyare_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_YareyareA1-,sprite/sa6_yareyare_a1_,1,100%,1:sprite/sa6_yareyare_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_YareyareA2,sprite/sa1a_yareyare_a2_,2,100%,2:sprite/sa1a_yareyare_a2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_YareyareB1,sprite/sa1b_yareyare_b1_,3,75%,3:sprite/sa1b_yareyare_b1_,1:sprite/sa1a_hau_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_YareyareB1#,sprite/sa2b_yareyare_b1_,5,100%,5:sprite/sa2b_yareyare_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_YareyareB2,sprite/sa1a_def_a1_,1,100%,1:sprite/sa1a_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_akireruB1,sprite/sa1b_akireru_b1_,1,100%,1:sprite/sa1b_akireru_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_defA1,sprite/sa1a_def_a1_,1,100%,1:sprite/sa1a_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_defA1#,sprite/sa2a_def_a1_,1,100%,1:sprite/sa2a_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_hannbesoA3,sprite/sa1a_hannbeso_a3_,1,100%,1:sprite/sa1a_hannbeso_a3_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_muhyouA1,sprite/sa1a_muhyou_a1_,2,100%,2:sprite/sa1a_muhyou_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_muhyouA2,sprite/sa1a_muhyou_a2_,1,100%,1:sprite/sa1a_muhyou_a2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_muhyouB1,sprite/sa1b_muhyou_b1_,1,100%,1:sprite/sa1b_muhyou_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_nakuB1,sprite/ri1_majime_a1_,1,100%,1:sprite/ri1_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_odorokiA1&,sprite/sa3_odoroki_a1_,2,100%,2:sprite/sa3_odoroki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_odorokiB1#,sprite/sa2b_odoroki_b1_,3,100%,3:sprite/sa2b_odoroki_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_sakebuA1,sprite/sa1a_sakebu_a1_,1,100%,1:sprite/sa1a_sakebu_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_waraiA1,sprite/sa1a_warai_a1_,1,100%,1:sprite/sa1a_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_waraiB1,sprite/sa1b_warai_b1_,1,100%,1:sprite/sa1b_warai_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sa_yareyareB1#,sprite/sa2b_yareyare_b1_,1,100%,1:sprite/sa2b_yareyare_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sato_Def1,sprite/sato1_def1_,20,100%,20:sprite/sato1_def1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sato_Def1!,sprite/sato2_def1_,3,100%,3:sprite/sato2_def1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sato_Def2,sprite/sato1_def2_,17,89%,17:sprite/sato1_def2_,1:sprite/sato1_def1_,1:sprite/sato1_komaru_,,,,,,,,,,,,,,,,,,,,,,,,
,Sato_Def2!,sprite/sato2_komaru2_,1,33%,1:sprite/sato2_komaru2_,1:sprite/sato2_komaru_,1:sprite/sato2_def2_,,,,,,,,,,,,,,,,,,,,,,,,
,Sato_Ikari,sprite/sato1_ikari_,3,100%,3:sprite/sato1_ikari_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sato_Komaru,sprite/sato1_komaru_,14,93%,14:sprite/sato1_komaru_,1:sprite/sato1_komaru2_,,,,,,,,,,,,,,,,,,,,,,,,,
,Sato_Komaru2,sprite/sato1_komaru2_,12,100%,12:sprite/sato1_komaru2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sato_Komaru2!,sprite/sato2_komaru2_,2,100%,2:sprite/sato2_komaru2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sato_Tukare,sprite/sato1_tukare_,3,60%,3:sprite/sato1_tukare_,2:sprite/sato1_komaru_,,,,,,,,,,,,,,,,,,,,,,,,,
,Sato_Warai,sprite/sato1_warai_,13,93%,13:sprite/sato1_warai_,1:sprite/sato1_def2_,,,,,,,,,,,,,,,,,,,,,,,,,
,Sato_Warai!,sprite/sato2_warai_,2,50%,2:sprite/sato2_warai_,1:sprite/sato2_def2_,1:sprite/sato2_tukare_,,,,,,,,,,,,,,,,,,,,,,,,
,Sato_def2,sprite/sato1_def2_,1,100%,1:sprite/sato1_def2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sato_ikari,sprite/sato1_ikari_,2,100%,2:sprite/sato1_ikari_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sato_komaru,sprite/sato1_komaru_,3,60%,3:sprite/sato1_komaru_,1:sprite/sato1_def1_,1:sprite/sa1b_sakebu_b1_,,,,,,,,,,,,,,,,,,,,,,,,
,Sato_komaru2,sprite/sato1_komaru2_,1,100%,1:sprite/sato1_komaru2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sato_tukare,sprite/sato1_komaru_,1,100%,1:sprite/sato1_komaru_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sato_warai,sprite/sato1_warai_,2,100%,2:sprite/sato1_warai_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_AkuwaraiA1,sprite/si3_akuwarai_a1_,14,78%,14:sprite/si3_akuwarai_a1_,3:sprite/si1a_akuwarai_a1_,1:sprite/me1b_huteki_a1_,,,,,,,,,,,,,,,,,,,,,,,,
,Si_AkuwaraiA1#,sprite/si1a_akuwarai_a1_,6,100%,6:sprite/si1a_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_AkuwaraiA1$,sprite/si2_akuwarai_a1_,2,100%,2:sprite/si2_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_AkuwaraiB1#,sprite/si1a_akuwarai_a1_,2,50%,2:sprite/si1a_akuwarai_a1_,2:sprite/si1b_akuwarai_b1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_DefA1,sprite/si3_def_a1_,11,85%,11:sprite/si3_def_a1_,1:sprite/si3_huteki_a1_,1:sprite/si1a_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,
,Si_DefA1#,sprite/si1a_def_a1_,11,100%,11:sprite/si1a_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_DefA1$,sprite/si2_def_a1_,1,100%,1:sprite/si2_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_DefB1#,sprite/si1a_def_a1_,2,67%,2:sprite/si1a_def_a1_,1:sprite/si1b_def_b1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_HauA1#,sprite/si1a_hau_a1_,1,100%,1:sprite/si1a_hau_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_HutekiA1,sprite/si3_huteki_a1_,2,100%,2:sprite/si3_huteki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_IkariA1,sprite/si3_ikari_a1_,18,90%,18:sprite/si3_ikari_a1_,2:sprite/si1a_ikari_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_IkariA1#,sprite/si1a_ikari_a1_,3,100%,3:sprite/si1a_ikari_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_MajimeA1,sprite/si3_majime_a1_,29,97%,29:sprite/si3_majime_a1_,1:sprite/si1a_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_MajimeA1#,sprite/si1a_majime_a1_,9,100%,9:sprite/si1a_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_MajimeB1#,sprite/si1b_majime_b1_,5,83%,5:sprite/si1b_majime_b1_,1:sprite/iri2_def1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_OdorokiA1,sprite/si3_odoroki_a1_,8,80%,8:sprite/si3_odoroki_a1_,2:sprite/si1a_odoroki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_OdorokiA1#,sprite/si1a_odoroki_a1_,5,83%,5:sprite/si1a_odoroki_a1_,1:sprite/kasa_3_,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_OdorokiB1#,sprite/si1a_odoroki_a1_,1,100%,1:sprite/si1a_odoroki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_TohohoA1,sprite/si3_tohoho_a1_,12,92%,12:sprite/si3_tohoho_a1_,1:sprite/si3_huteki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_TohohoA1#,sprite/si1a_tohoho_a1_,3,75%,3:sprite/si1a_tohoho_a1_,1:sprite/si1b_tohoho_b1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_TohohoB1#,sprite/si1b_tohoho_b1_,3,60%,3:sprite/si1b_tohoho_b1_,2:sprite/si1a_tohoho_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_TokuiA1,sprite/si3_tokui_a1_,1,33%,1:sprite/si3_tokui_a1_,1:sprite/si3_huteki_a1_,1:sprite/si1a_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,
,Si_TokuiA1#,sprite/si1a_tokui_a1_,3,100%,3:sprite/si1a_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_TokuiB1#,sprite/si1a_tokui_a1_,1,100%,1:sprite/si1a_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_WaraiA1,sprite/si3_warai_a1_,20,95%,20:sprite/si3_warai_a1_,1:sprite/si1a_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_WaraiA1#,sprite/si1a_warai_a1_,12,100%,12:sprite/si1a_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_WaraiA1$,sprite/si2_warai_a1_,2,100%,2:sprite/si2_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_WaraiB1#,sprite/si1a_warai_a1_,3,75%,3:sprite/si1a_warai_a1_,1:sprite/si1b_warai_b1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_WinkA1,sprite/si3_wink_a1_,20,87%,20:sprite/si3_wink_a1_,2:sprite/si1a_wink_a1_,1:sprite/si1b_wink_b1_,,,,,,,,,,,,,,,,,,,,,,,,
,Si_WinkA1#,sprite/si1a_wink_a1_,11,100%,11:sprite/si1a_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_WinkA1$,sprite/si2_wink_a1_,4,100%,4:sprite/si2_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_WinkB1#,sprite/si1a_wink_a1_,4,57%,4:sprite/si1a_wink_a1_,3:sprite/si1b_wink_b1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_YowakiA1,sprite/si3_yowaki_a1_,4,80%,4:sprite/si3_yowaki_a1_,1:sprite/si1a_yowaki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_YowakiA1#,sprite/si1a_yowaki_a1_,5,100%,5:sprite/si1a_yowaki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_akuwaraiA1,sprite/si3_akuwarai_a1_,2,100%,2:sprite/si3_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_akuwaraiA1#,sprite/si1a_akuwarai_a1_,2,100%,2:sprite/si1a_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_defA1#,sprite/si1a_def_a1_,1,100%,1:sprite/si1a_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_majimeA1,sprite/si3_majime_a1_,2,100%,2:sprite/si3_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_majimeA1#,sprite/si1a_majime_a1_,5,100%,5:sprite/si1a_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_winkA1,sprite/si3_wink_a1_,1,100%,1:sprite/si3_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Si_winkA1#,sprite/si1a_wink_a1_,1,100%,1:sprite/si1a_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_AkuWarai,sprite/ta3_akuwarai_,1,100%,1:sprite/ta3_akuwarai_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_AkuWarai+,sprite/ta2_akuwarai_,3,100%,3:sprite/ta2_akuwarai_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_AkuWarai#,sprite/ta1_akuwarai_,1,100%,1:sprite/ta1_akuwarai_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_Akuwarai+,sprite/ta2_akuwarai_,17,100%,17:sprite/ta2_akuwarai_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_Akuwarai,sprite/ta3_akuwarai_,8,89%,8:sprite/ta3_akuwarai_,1:sprite/ta5_akuwarai_,,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_Akuwarai#,sprite/ta1_akuwarai_,23,100%,23:sprite/ta1_akuwarai_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_Def+,sprite/ta2_def_,37,95%,37:sprite/ta2_def_,1:sprite/ta2_hatena_,1:sprite/ta1_def_,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_Def,sprite/ta3_def_,10,91%,10:sprite/ta3_def_,1:sprite/ta3_human_,,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_Def#,sprite/ta1_def_,69,93%,69:sprite/ta1_def_,2:sprite/ta1_warai_,1:sprite/ta1_hatena_,1:sprite/ta1_akuwarai_,1:sprite/oko_def_,,,,,,,,,,,,,,,,,,,,,,
,Ta_Ikari+,sprite/ta2_sakebi_,1,100%,1:sprite/ta2_sakebi_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_Ikari,sprite/ta5_sakebi_,1,33%,1:sprite/ta5_sakebi_,1:sprite/ta5_iradachi_,1:sprite/ta5_human_,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_Ikari#,sprite/ta1_sakebi_,6,46%,6:sprite/ta1_sakebi_,3:sprite/ta1_human_,2:sprite/ta1_iradachi_,1:sprite/ta1_hatena_,1:sprite/ta1_akuwarai_,,,,,,,,,,,,,,,,,,,,,,
,Ta_Ikari2+,sprite/ta2_sakebi_,1,100%,1:sprite/ta2_sakebi_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_Ikari2,sprite/ta5_sakebi_,4,57%,4:sprite/ta5_sakebi_,2:sprite/ta5_iradachi_,1:sprite/ta3_sakebi_,,,,,,,,,,,,,,,,,,,,,,,,
