ps3 sprite file, ps3 image, ryukishi best match, count of best match, confidence,all matches,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
,Iri_warai!,sprite/iri3_warai_,3,100%,3:sprite/iri3_warai_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iri_warai#,sprite/iri1_warai_,2,100%,2:sprite/iri1_warai_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kasa1,sprite/kasa_1_,33,100%,33:sprite/kasa_1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kasa2,sprite/kasa_2_,24,92%,24:sprite/kasa_2_,2:sprite/flashback/kasa_2_,,,,,,,,,,,,,,,,,,,,,,,,,
,Kasa3,sprite/kasa_3_,11,73%,11:sprite/kasa_3_,2:sprite/kasa_2_,1:sprite/flashback/kasa_3_,1:sprite/si1a_odoroki_a1_,,,,,,,,,,,,,,,,,,,,,,,
,Kei_Def1,sprite/kei1_def1_,47,98%,47:sprite/kei1_def1_,1:sprite/kei2_def1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Kei_Def1#,sprite/kei2_def1_,41,93%,41:sprite/kei2_def1_,1:sprite/me2_def_a1_,1:sprite/kei2_komaru_,1:sprite/kei2_def2_,,,,,,,,,,,,,,,,,,,,,,,
,Kei_Def2,sprite/kei1_def2_,22,100%,22:sprite/kei1_def2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kei_Def2#,sprite/kei2_def2_,14,100%,14:sprite/kei2_def2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kei_Ikari1,sprite/kei1_ikari1_,10,100%,10:sprite/kei1_ikari1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kei_Ikari1#,sprite/kei2_ikari1_,9,90%,9:sprite/kei2_ikari1_,1:sprite/kei2_ikari2_,,,,,,,,,,,,,,,,,,,,,,,,,
,Kei_Ikari2,sprite/kei1_ikari2_,7,88%,7:sprite/kei1_ikari2_,1:sprite/kei2_ikari2_,,,,,,,,,,,,,,,,,,,,,,,,,
,Kei_Ikari2#,sprite/kei2_ikari2_,2,67%,2:sprite/kei2_ikari2_,1:sprite/re2b_okoru_b1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Kei_Komaru,sprite/kei1_komaru_,12,86%,12:sprite/kei1_komaru_,1:sprite/re1a_bikkuri_a1_,1:sprite/tie_3_,,,,,,,,,,,,,,,,,,,,,,,,
,Kei_Komaru#,sprite/kei2_komaru_,11,92%,11:sprite/kei2_komaru_,1:sprite/re2a_komaru_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Kei_Majime,sprite/kei1_majime_,11,92%,11:sprite/kei1_majime_,1:sprite/kei2_majime_,,,,,,,,,,,,,,,,,,,,,,,,,
,Kei_Majime#,sprite/kei2_majime_,7,100%,7:sprite/kei2_majime_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kei_Majime2,sprite/kei1_majime2_,3,100%,3:sprite/kei1_majime2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kei_Majime2#,sprite/kei2_majime2_,2,100%,2:sprite/kei2_majime2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kei_Nayamu,sprite/kei1_nayamu_,10,77%,10:sprite/kei1_nayamu_,1:sprite/kei1_komaru_,1:sprite/kei1_majime_,1:sprite/kei2_nayamu_,,,,,,,,,,,,,,,,,,,,,,,
,Kei_Nayamu#,sprite/kei2_nayamu_,8,73%,8:sprite/kei2_nayamu_,1:sprite/kei2_komaru_,1:sprite/kei2_ikari2_,1:sprite/me2_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,
,Kei_Warai,sprite/kei1_warai_,42,98%,42:sprite/kei1_warai_,1:sprite/kei1_def1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Kei_Warai#,sprite/kei2_warai_,48,94%,48:sprite/kei2_warai_,1:sprite/tomita1_warai_,1:sprite/kei2_komaru_,1:sprite/ha2a_def_,,,,,,,,,,,,,,,,,,,,,,,
,Kei_def2,sprite/kei1_def2_,1,100%,1:sprite/kei1_def2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kei_def2#,sprite/kei2_def2_,1,100%,1:sprite/kei2_def2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kei_komaru,sprite/kei1_komaru_,2,100%,2:sprite/kei1_komaru_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kei_komaru#,sprite/kei2_komaru_,1,100%,1:sprite/kei2_komaru_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kei_majime#,sprite/kei2_majime_,4,100%,4:sprite/kei2_majime_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kei_majime2,sprite/kei1_majime2_,2,67%,2:sprite/kei1_majime2_,1:sprite/re1a_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Kei_majime2#,sprite/kei2_majime_,1,50%,1:sprite/kei2_majime_,1:sprite/kei2_majime2_,,,,,,,,,,,,,,,,,,,,,,,,,
,Kei_nayamu,sprite/kei1_nayamu_,1,100%,1:sprite/kei1_nayamu_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kei_nayamu#,sprite/kei2_nayamu_,1,100%,1:sprite/kei2_nayamu_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kei_warai,sprite/kei1_warai_,2,100%,2:sprite/kei1_warai_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kei_warai#,sprite/kei2_warai_,2,100%,2:sprite/kei2_warai_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_AKuwaraiB1,sprite/me1b_akuwarai_a1_,1,100%,1:sprite/me1b_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_AkuwaraiA1,sprite/me1a_akuwarai_a1_,21,88%,21:sprite/me1a_akuwarai_a1_,1:sprite/flashback/me2_akuwarai_a1_,1:sprite/me2_akuwarai_a1_,1:sprite/me1a_huteki_a1_,,,,,,,,,,,,,,,,,,,,,,,
,Me_AkuwaraiA1#,sprite/me2_akuwarai_a1_,23,100%,23:sprite/me2_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_AkuwaraiA1$,sprite/me5_akuwarai_a1_,2,100%,2:sprite/me5_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_AkuwaraiA1&,sprite/me3_akuwarai_a1_,4,100%,4:sprite/me3_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_AkuwaraiA2,sprite/me1a_akuwarai_a1_,5,83%,5:sprite/me1a_akuwarai_a1_,1:sprite/me1b_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_AkuwaraiA2#,sprite/me2_akuwarai_a1_,9,100%,9:sprite/me2_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_AkuwaraiA2$,sprite/me5_akuwarai_a1_,1,100%,1:sprite/me5_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_AkuwaraiA2&,sprite/me3_akuwarai_a1_,1,100%,1:sprite/me3_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_AkuwaraiB1,sprite/me1b_akuwarai_a1_,16,84%,16:sprite/me1b_akuwarai_a1_,1:sprite/me1b_warai_a1_,1:sprite/flashback/me2_akuwarai_a1_,1:sprite/me1a_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,
,Me_AkuwaraiB2,sprite/me1b_akuwarai_a1_,6,75%,6:sprite/me1b_akuwarai_a1_,1:sprite/flashback/me2_akuwarai_a1_,1:sprite/me1b_sinmyou_a1_,,,,,,,,,,,,,,,,,,,,,,,,
,Me_DefA1,sprite/me1a_def_a1_,30,100%,30:sprite/me1a_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_DefA1#,sprite/me2_def_a1_,16,100%,16:sprite/me2_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_DefA1&,sprite/me3_def_a1_,1,100%,1:sprite/me3_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_DefA2,sprite/me1a_def_a1_,20,100%,20:sprite/me1a_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_DefA2#,sprite/me2_def_a1_,4,100%,4:sprite/me2_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_DefB1,sprite/me1b_def_a1_,12,92%,12:sprite/me1b_def_a1_,1:sprite/me1a_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_DefB2,sprite/me1b_def_a1_,16,80%,16:sprite/me1b_def_a1_,2:sprite/me2_def_a1_,1:sprite/flashback/me2_def_a1_,1:sprite/me1a_def_a1_,,,,,,,,,,,,,,,,,,,,,,,
,Me_HauA1,sprite/me1a_hau_a1_,1,100%,1:sprite/me1a_hau_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_HauA1#,sprite/me2_hau_a1_,5,100%,5:sprite/me2_hau_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_HauB1,sprite/me1b_hau_a1_,2,100%,2:sprite/me1b_hau_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_Hi_majiA2#,sprite/me2_hig_maji_a1_,1,100%,1:sprite/me2_hig_maji_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_HutekiA1,sprite/me1a_huteki_a1_,7,100%,7:sprite/me1a_huteki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_HutekiA1#,sprite/me2_huteki_a1_,11,100%,11:sprite/me2_huteki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_HutekiA1$,sprite/me5_huteki_a1_,1,100%,1:sprite/me5_huteki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_HutekiA1&,sprite/me3_huteki_a1_,1,100%,1:sprite/me3_huteki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_IkariA1,sprite/me1a_ikari_a1_,1,100%,1:sprite/me1a_ikari_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
