last_file_found,ps3_name,auto,naegles,final_choice,status
unknown,103b,NO_MATCH,bg_247,bg_247,NAEGLES
unknown,104,NO_MATCH,ma_j2,ma_j2,NAEGLES
unknown,105a,NO_MATCH,ma_g1,ma_g1,NAEGLES
unknown,105b,NO_MATCH,ma_g1,ma_g1,NAEGLES
unknown,106,NO_MATCH,jsa3,jsa3,NAEGLES
unknown,107a,NO_MATCH,sinryo_sinsatu1,sinryo_sinsatu1,NAEGLES
unknown,107b,NO_MATCH,sinryo_sinsatu1,sinryo_sinsatu1,NAEGLES
unknown,107c,NO_MATCH,sinryo_sinsatu1,sinryo_sinsatu1,NAEGLES
unknown,108,NO_MATCH,gk3,gk3,NAEGLES
unknown,109b,NO_MATCH,oki_g3,oki_g3,NAEGLES
unknown,109e,NO_MATCH,oki_g3,oki_g3,NAEGLES
unknown,110a,NO_MATCH,ji4,ji4,NAEGLES
unknown,110b,NO_MATCH,ji4,ji4,NAEGLES
unknown,111a,NO_MATCH,ma2,ma2,NAEGLES
unknown,111b,NO_MATCH,ma2,ma2,NAEGLES
unknown,113a,NO_MATCH,ji2,ji2,NAEGLES
unknown,113b,NO_MATCH,ji2,ji2,NAEGLES
unknown,114,NO_MATCH,t_ep8,t_ep8,NAEGLES
unknown,115,NO_MATCH,ji4,ji4,NAEGLES
unknown,2,NO_MATCH,2,2,EFFECT
unknown,201a,NO_MATCH,m_hi9,m_hi9,NAEGLES
unknown,201b,NO_MATCH,m_hi9,m_hi9,NAEGLES
unknown,201c,NO_MATCH,black,black,NAEGLES
unknown,202,NO_MATCH,jt1,jt1,NAEGLES
unknown,203a,NO_MATCH,ima2,ima2,NAEGLES
unknown,203b,NO_MATCH,ima2,ima2,NAEGLES
unknown,3,NO_MATCH,3,3,EFFECT
unknown,4,NO_MATCH,4,4,EFFECT
unknown,5,NO_MATCH,5,5,EFFECT
unknown,aa,NO_MATCH,aa,aa,EFFECT
_mats_024.txt,aka1,aka1,aka1,aka1,IDENTICAL
_mats_024.txt,aka2,aka2,aka2,aka2,IDENTICAL
unknown,alphaimage,NO_MATCH,NO_MATCH,NO_MATCH,EFFECT
_kakera52.txt,basu_soukou,eki2,NO_MATCH,eki2,AUTOMATIC
unknown,bg_089_mo,NO_MATCH,ke5,ke5,NAEGLES
unknown,bg_161,NO_MATCH,re1,re1,NAEGLES
unknown,bg_226,NO_MATCH,bg_226,bg_226,NAEGLES
unknown,bg_235,NO_MATCH,bg_235,bg_235,NAEGLES
unknown,bg_246b,NO_MATCH,bg_246,bg_246,NAEGLES
unknown,black,NO_MATCH,black,black,EFFECT
wata_ep_02.txt,byo_01,sinryo_sinsatu1,sinryo_sinsatu1,sinryo_sinsatu1,IDENTICAL
_mats_022.txt,byo_ten,ke6,NO_MATCH,ke6,AUTOMATIC
unknown,c,NO_MATCH,c,c,EFFECT
unknown,centerblind,NO_MATCH,centerblind,centerblind,EFFECT
_mats_022.txt,chika_rouka,sr_2,NO_MATCH,sr_2,AUTOMATIC
_mats_022.txt,chika_sekyurithi,torakku2,NO_MATCH,torakku2,AUTOMATIC
_mats_op.txt,chika_shisetsu,ko1,NO_MATCH,ko1,AUTOMATIC
unknown,cinema,NO_MATCH,cinema,cinema,EFFECT
_mina_op.txt,damu2,damu2,damu2,damu2,IDENTICAL
_mina_026.txt,damu4,damu3,bg_004,damu3,CONTRADICTORY
onik_002.txt,damu4_01,NO_MATCH,bg_004,bg_004,NAEGLES
_mats_018.txt,denwa,denwa,denwa,denwa,IDENTICAL
unknown,down,NO_MATCH,down,down,EFFECT
unknown,e1,NO_MATCH,NO_MATCH,NO_MATCH,EFFECT
_meak_tips_08.txt,eki,bg_012,bg_012,bg_012,IDENTICAL
unknown,end,NO_MATCH,end,end,NAEGLES
unknown,end_1,NO_MATCH,end_1,end_1,NAEGLES
unknown,end_1_j,NO_MATCH,end_1_j,end_1_j,NAEGLES
unknown,end_2,NO_MATCH,end_2,end_2,NAEGLES
unknown,end_2_j,NO_MATCH,end_2_j,end_2_j,NAEGLES
unknown,end_3,NO_MATCH,end_3,end_3,NAEGLES
unknown,end_3_j,NO_MATCH,end_3_j,end_3_j,NAEGLES
unknown,ex_jump,NO_MATCH,ex_jump,ex_jump,NAEGLES
unknown,ex_otsu,NO_MATCH,ex_otsu,ex_otsu,NAEGLES
unknown,ex_otsu_hima,NO_MATCH,ex_otsu_hima,ex_otsu_hima,NAEGLES
unknown,ex_otsu_tata,NO_MATCH,ex_otsu_tata,ex_otsu_tata,NAEGLES
unknown,ex_otsu_wata,NO_MATCH,ex_otsu_wata,ex_otsu_wata,NAEGLES
unknown,ex_tips,NO_MATCH,ex_tips,ex_tips,NAEGLES
unknown,eye,NO_MATCH,bg_018,bg_018,NAEGLES
_mats_025.txt,file,file,simen2,file,CONTRADICTORY
_mats_024.txt,fure1,fure1,NO_MATCH,fure1,AUTOMATIC
_mats_008.txt,fure2,fure2,NO_MATCH,fure2,AUTOMATIC
_mats_025.txt,furiker_a,f_a,furiker_a,furiker_a,CONTRADICTORY
_mats_025.txt,furiker_b,f_b,furiker_b,furiker_b,CONTRADICTORY
_mats_025.txt,furiker_c,bg0,furiker_a,bg0,CONTRADICTORY
_mats_013.txt,g1,g1,g1,g1,IDENTICAL
_tsum_026.txt,g1_01,g1,g1,g1,IDENTICAL
_mats_013.txt,g2,g2,g2,g2,IDENTICAL
_tsum_026.txt,g2_01,g2,g2,g2,IDENTICAL
_mina_019.txt,g3,g3,g3,g3,IDENTICAL
_tsum_026.txt,g3_01,g3,g3,g3,IDENTICAL
_meak_001.txt,ga1,ga1,NO_MATCH,ga1,AUTOMATIC
_mats_025.txt,gk1,gk1,gk1,gk1,IDENTICAL
_tsum_026.txt,gk1_01,gk1,gk1,gk1,IDENTICAL
_mats_025.txt,gk3,gk2,gk2,gk2,IDENTICAL
_kakera36.txt,gr1,gr1,gr1,gr1,IDENTICAL
_tsum_025.txt,gr1_01,gr1,NO_MATCH,gr1,AUTOMATIC
_mats_025.txt,gr2,gr2,gr2,gr2,IDENTICAL
_tsum_026.txt,gr2_01,gr2,gr2,gr2,IDENTICAL
_kakera36.txt,gr3,gr3,gr3,gr3,IDENTICAL
_mina_ep.txt,gry2,gry1,gry2,gry2,MANUAL
_kakera45.txt,gy3_01,gy3,gr3,gy3,CONTRADICTORY
_tsum_026.txt,gy7,gy1,gy7,gy7,MANUAL
unknown,haikei,NO_MATCH,haikei,haikei,NAEGLES
unknown,haikei-,NO_MATCH,haikei,haikei,NAEGLES
tata_013_02.txt,hasi1,bg_029,bg_029,bg_029,IDENTICAL
hima_002.txt,hasi3,bg_032,bg_032,bg_032,IDENTICAL
_mats_024.txt,heri_gunji_01,heri1,NO_MATCH,heri1,AUTOMATIC
_mats_016.txt,heya1,heya2,heya2,heya2,IDENTICAL
_kakera15.txt,heya1_04,ima3,heya2,heya2,CONTRADICTORY
hima_tips_07.txt,heya1_05,heya1,heya2,heya1,CONTRADICTORY
_mats_016.txt,heya6,heya6,NO_MATCH,heya6,AUTOMATIC
_mats_op.txt,hi1,hi2,hi1,hi1,CONTRADICTORY
onik_009.txt,hi1_01,hi1,hi1,hi1,IDENTICAL
hima_002.txt,hi3,hi3,hi3,hi3,IDENTICAL
_kakera33.txt,hi4,hi4,hi4,hi4,IDENTICAL
_mats_018.txt,hi4_01,hi4,hi4,hi4,IDENTICAL
_tsum_006.txt,hi5,hi5,hi5,hi5,IDENTICAL
_kakera37.txt,hi5_01,hi5,hi5,hi5,IDENTICAL
_mats_023.txt,hi9,hi9,hi9,hi9,IDENTICAL
_mats_023.txt,hi_scroll,mura2,m_hi4,mura2,CONTRADICTORY
_mats_025.txt,hi_scroll_01,mura2,m_hi4,m_hi4,CONTRADICTORY
_kakera48.txt,ho1,ho1_houjouke,ho1_houjouke,ho1_houjouke,IDENTICAL
_mina_011_1.txt,ho1_01,ho2_houjouke,NO_MATCH,ho2_houjouke,AUTOMATIC
_mina_019.txt,ho1_02,ho1_houjouke,ho1_houjouke,ho1_houjouke,IDENTICAL
_kakera32.txt,ho_2,ho_2,bg_057,ho_2,CONTRADICTORY
_kakera32.txt,ho_r1,ho_r1,ho_r1,ho_r1,IDENTICAL
tata_001.txt,honoo,NO_MATCH,red,red,NAEGLES
_mats_019.txt,hoteru,hoteru,hoteru,hoteru,IDENTICAL
_mats_021.txt,hu2,hu1,hu2,hu2,MANUAL
_mats_018.txt,hu2_01,hu1,NO_MATCH,hu1,AUTOMATIC
_kakera52.txt,hu_ima,NO_MATCH,hu_r1,hu_r1,NAEGLES
_mats_025.txt,hu_r1,hu_r1,hu_r1,hu_r1,IDENTICAL
_mats_012.txt,hu_r4,hu_r4,NO_MATCH,hu_r4,AUTOMATIC
onik_015_02.txt,hu_tenjyou,ma_j3,ma_j3,ma_j3,IDENTICAL
_mats_015.txt,ie1,ie1,ie1,ie1,IDENTICAL
_mina_020.txt,ie1_01,ie2,ie1,ie1,CONTRADICTORY
_mats_018.txt,ima1,ima1,ima1,ima1,IDENTICAL
_mats_025.txt,ima3,heya4,ima3,ima3,CONTRADICTORY
_mats_025.txt,jansou,bg_071,jansou,jansou,MANUAL
_mats_025.txt,jd4,jd4,jd4,jd4,IDENTICAL
onik_009_02.txt,jd4_01,jd4,jd4,jd4,IDENTICAL
_mats_025.txt,je1,je1,je1,je1,IDENTICAL
_mats_025.txt,je2,je4,je3,je3,CONTRADICTORY
_mats_017.txt,ji1,ji1,ji1,ji1,IDENTICAL
_mats_025.txt,ji1_01,ji5,ji1,ji1,CONTRADICTORY
_mats_014.txt,ji2,ji2,ji2,ji2,IDENTICAL
_mats_018.txt,ji2_01,ji2,ji2,ji2,IDENTICAL
_mats_014.txt,ji6,ji6,ji6,ji6,MANUAL
_mats_021.txt,jok1,jok1,jok1,jok1,IDENTICAL
_tsum_012_1.txt,jok2,jok2,jok2,jok2,IDENTICAL
_mina_004.txt,js1,bg_079,js1,js1,MANUAL
_mina_004.txt,js1_01,ji5,bg_079,bg_079,CONTRADICTORY
_mina_006.txt,js3,js3,jsa2,js3,CONTRADICTORY
_meak_016_2.txt,js3_01,jsa2,jsa2,jsa2,IDENTICAL
_mina_004.txt,js4,js4,NO_MATCH,js4,AUTOMATIC
_mina_004.txt,js4_01,js4,ima3,ima3,CONTRADICTORY
_kakera27.txt,js4_02,js4,NO_MATCH,js4,AUTOMATIC
_mina_006.txt,jsa1,jsa1,jsa1,jsa1,IDENTICAL
_mina_006.txt,jsa7,jsa7,jsa2,jsa7,CONTRADICTORY
_mats_021.txt,jsa7_01,jsa4,jsa7,jsa7,CONTRADICTORY
_mats_011.txt,jt1,jt1,hi6,jt1,CONTRADICTORY
_mats_018.txt,jt1_01,haikei,hi6,hi6,CONTRADICTORY
_mats_011.txt,jt2,jt2,jt2,jt2,IDENTICAL
_mats_018.txt,jt2_01,jt2,jt2,jt2,IDENTICAL
_mats_007.txt,juku1_01,juku1,hi6,hi6,NAEGLES
_mats_014.txt,jy1,jy1,jy1,jy1,IDENTICAL
_mats_025.txt,jy2,jy2,jy2,jy2,IDENTICAL
_kakera27.txt,jys1,js1,jys1,jys1,MANUAL
_meak_tips_14.txt,jysa1,jysa1,jysa1,jysa1,IDENTICAL
_mina_021.txt,jyt1,jyt1,jyt1,jyt1,IDENTICAL
_mats_018.txt,jyt2,jyt2,jyt2,jyt2,IDENTICAL
_kakera25.txt,k_kouen1,kouen,NO_MATCH,kouen,AUTOMATIC
_meak_005.txt,k_kouen1_01,kouen,NO_MATCH,kouen,AUTOMATIC
_kakera51.txt,k_oyashiro,NO_MATCH,black,black,NAEGLES
_mats_010.txt,k_ten2,ho1_tokyo,NO_MATCH,ho1_tokyo,AUTOMATIC
_mats_010.txt,ka1_01,ka2,NO_MATCH,ka2,AUTOMATIC
_mats_022.txt,ka4,ka1,ka4,ka4,MANUAL
_mats_020.txt,kai_jyun,ke_s3,NO_MATCH,ke_s3,AUTOMATIC
_mats_020.txt,kai_ten,ke_s3,ke5,ke5,NAEGLES
_kakera52.txt,kakera,kakera3,NO_MATCH,kakera3,AUTOMATIC
_tsum_010.txt,kawa1,kawa1,kawa1,kawa1,IDENTICAL
hima_002.txt,kawa4,bg_005,kawa4,kawa4,MANUAL
_mats_019.txt,ke1,ke1,bg_091,bg_091,CONTRADICTORY
_meak_012.txt,ke1_01,ke1,NO_MATCH,ke1,AUTOMATIC
_mats_019.txt,ke2,ke2,ke2,ke2,IDENTICAL
_mats_022.txt,ke5,ke5,ke5,ke5,IDENTICAL
_mats_025.txt,ke_ky1,ke_ky1,ke_ky1,ke_ky1,IDENTICAL
_mats_012.txt,ke_ky2,tosyo7,ke_ky2,ke_ky2,CONTRADICTORY
_mats_019.txt,ke_robbie,ke_r1,NO_MATCH,ke_r1,AUTOMATIC
_mats_019.txt,ke_s2,ke_s1,ke_s1,ke_s1,IDENTICAL
staffroom.txt,ke_shiryou1_02,NO_MATCH,dsc00038,dsc00038,NAEGLES
hima_tips_14.txt,kimi_o1_08,terebi1,terebi1,terebi1,IDENTICAL
_kakera52.txt,koudou,mati16,NO_MATCH,mati16,AUTOMATIC
_mats_024.txt,koya1,koya2,koya1,koya1,MANUAL
_mats_024.txt,koya1_02,koya1,bg_097,bg_097,CONTRADICTORY
hima_004.txt,kukou1,NO_MATCH,bg_099,bg_099,NAEGLES
_mats_023.txt,kuruma1,kuruma1,kuruma1,kuruma1,IDENTICAL
_tsum_026.txt,kuruma1_02,kuruma1,kuruma1,kuruma1,IDENTICAL
_mats_023.txt,kuruma2,kuruma2,kuruma2,kuruma2,IDENTICAL
hima_003_03.txt,kuruma2_01,kuruma2,kuruma2,kuruma2,IDENTICAL
_tsum_026.txt,kuruma2_02,kuruma2,kuruma2,kuruma2,IDENTICAL
hima_003_03.txt,kuruma3,m_hi9,kuruma3,kuruma3,CONTRADICTORY
_tsum_012_2.txt,kuruma3_01,kuruma3,kuruma3,kuruma3,IDENTICAL
_tsum_026.txt,kuruma3_02,kuruma3,kuruma3,kuruma3,IDENTICAL
_mats_012.txt,kuruma4,kuruma4,kuruma4,kuruma4,IDENTICAL
tata_011_03.txt,kuruma4_01,kuruma4,kuruma4,kuruma4,IDENTICAL
_mats_002.txt,kuruma5,kuruma5,kuruma5,kuruma5,IDENTICAL
_mina_019.txt,kuruma5_01,bg_106,bg_106,bg_106,IDENTICAL
_meak_001.txt,kuruma5_02,kuruma8,NO_MATCH,kuruma8,AUTOMATIC
tata_011_03.txt,kuruma5_03,kuruma5,kuruma5,kuruma5,IDENTICAL
_kakera51.txt,kuruma5_04,kuruma4,kuruma5,kuruma5,NAEGLES
_kakera42.txt,kuruma5_05,kuruma5,kuruma8,kuruma8,NAEGLES
_mats_023.txt,kuruma6,kuruma6,kuruma6,kuruma6,IDENTICAL
unknown,left,NO_MATCH,left,left,EFFECT
unknown,logo,NO_MATCH,logo,logo,NAEGLES
unknown,logo_j,NO_MATCH,logo_j,logo_j,NAEGLES
unknown,logomask,NO_MATCH,logomask,logomask,EFFECT
unknown,m1,NO_MATCH,m1,m1,EFFECT
_tsum_017.txt,m_hi1,m_hi1,m_hi1,m_hi1,IDENTICAL
_mina_020.txt,m_hi1_01,m_hi1,m_hi1,m_hi1,IDENTICAL
_mats_025.txt,m_hi3,m_hi3,m_hi3,m_hi3,IDENTICAL
_mina_016.txt,m_hi3_01,m_hi3,m_hi3,m_hi3,IDENTICAL
_mats_017.txt,m_hi4,m_hi4,m_hi4,m_hi4,IDENTICAL
_mats_025.txt,m_hi4_01,m_hi4,m_hi4,m_hi4,IDENTICAL
_mina_009_2.txt,m_hi5,m_hi5,m_hi5,m_hi5,IDENTICAL
_tsum_004.txt,m_hi5_01,m_hi5,m_hi5,m_hi5,IDENTICAL
_mina_009_2.txt,m_hi6,m_hi6,m_hi6,m_hi6,IDENTICAL
_kakera38.txt,m_hi6_01,m_hi6,m_hi6,m_hi6,IDENTICAL
_mina_tips_005.txt,m_hi8,m_hi8,m_hi8,m_hi8,IDENTICAL
_mina_ep.txt,m_y1,m_y1,m_y1,m_y1,IDENTICAL
_mina_ep.txt,m_y2,m_y2,m_y2,m_y2,IDENTICAL
tata_002.txt,m_y2_02,mati5,m_y2,m_y2,CONTRADICTORY
_mats_006.txt,m_y2_04,m_y2,m_y2,m_y2,IDENTICAL
_mina_op.txt,m_y4,m_y4,m_y4,m_y4,IDENTICAL
unknown,m_y4_01,NO_MATCH,m_y4,m_y4,NAEGLES
_mats_006.txt,m_y4_04,m_y4,NO_MATCH,m_y4,AUTOMATIC
_mina_ep.txt,m_y7,m_y5,m_y7,m_y7,CONTRADICTORY
_mats_015.txt,ma1,ma1,ma1,ma1,IDENTICAL
tata_012.txt,ma1_01,ma1,ma1,ma1,IDENTICAL
_mina_020.txt,ma1_02,ma1,ma1,ma1,IDENTICAL
_mina_011_1.txt,ma2,ma2,ma2,ma2,IDENTICAL
tata_012.txt,ma2_01,ma2,ma2,ma2,IDENTICAL
_tsum_tips_012.txt,ma3,ma3,ma3,ma3,IDENTICAL
tata_012.txt,ma3_01,ma3,ma3,ma3,IDENTICAL
_tsum_004.txt,ma3_02,ma4,ma3,ma3,CONTRADICTORY
_tsum_023_2.txt,ma5,ma5,ma5,ma5,IDENTICAL
tata_011_03.txt,ma5_01,ma5,ma5,ma5,IDENTICAL
_mina_003_1.txt,ma_d1,ma_d1,ma_d1,ma_d1,IDENTICAL
_tsum_022.txt,ma_d1_01,NO_MATCH,ma_d1,ma_d1,NAEGLES
_mina_003_1.txt,ma_g1,ma_g1,ma_g1,ma_g1,IDENTICAL
wata_003.txt,ma_g1_01,ma_g1,ma_g1,ma_g1,IDENTICAL
_tsum_022.txt,ma_g2,ma_g2,ma_g2,ma_g2,IDENTICAL
_mina_011_2.txt,ma_g3,ma_g3,NO_MATCH,ma_g3,AUTOMATIC
_tsum_019.txt,ma_g3_01,ma_g3,ma_g3,ma_g3,IDENTICAL
onik_014_02.txt,ma_g3_02,ma2,ma_g3,ma2,CONTRADICTORY
_tsum_022.txt,ma_j3,ma_j1,ma_j2,ma_j3,CONTRADICTORY
_tsum_023_1.txt,ma_j3_01,ma_j1,ma_j2,ma_j3,CONTRADICTORY
tata_009_02.txt,ma_j3_03,NO_MATCH,ma_j2,ma_j3,NAEGLES
wata_003.txt,ma_j3_05,ma_j2,ma_j2,ma_j3,IDENTICAL
_mina_011_2.txt,ma_s1,ribing1,bg_210,ma_s1,CONTRADICTORY
_tsum_019.txt,ma_s1_01,ma_s1,NO_MATCH,ma_s1,AUTOMATIC
unknown,mangagamer,NO_MATCH,mangagamer,mangagamer,NAEGLES
unknown,mask1013,NO_MATCH,mask1013,mask1013,EFFECT
unknown,mask1014,NO_MATCH,mask1014,mask1014,EFFECT
unknown,mask1020,NO_MATCH,mask1020,mask1020,EFFECT
unknown,mask_1900,NO_MATCH,mask_1900,mask_1900,EFFECT
_mats_010.txt,mati12,mati12,mati12,mati12,IDENTICAL
_mina_019.txt,mati2,mati2,mati2,mati2,IDENTICAL
_mina_008.txt,mati2_01,mati6,mati2,mati2,NAEGLES
_kakera42.txt,mati2_04,mati14,mati2,mati2,NAEGLES
_mats_017.txt,mati3,mati3,mati3,mati3,IDENTICAL
_mina_008.txt,mati3_01,mati3,NO_MATCH,mati3,AUTOMATIC
_kakera42.txt,mati3_04,mati9,mati3,mati3,NAEGLES
_mats_020.txt,mati4,mati4,mati4,mati4,IDENTICAL
_mina_012.txt,mati4_01,kouen,mati4,mati4,NAEGLES
_kakera42.txt,mati4_04,mati15,mati4,mati4,NAEGLES
_mats_012.txt,mati7,bg_237,mati7,mati7,CONTRADICTORY
_mina_019.txt,mati_ji1,mati_ji2,mati_ji1,mati_ji1,NAEGLES
_mats_020.txt,mati_o1,mati_o1,mati_o1,mati_o1,IDENTICAL
_mina_008.txt,mati_o1_01,mati_o1,NO_MATCH,mati_o1,AUTOMATIC
_mina_008.txt,mati_o2,mati_o2,bg_155,mati_o2,CONTRADICTORY
_mina_008.txt,mati_o4,mati_o5,mati_o4,mati_o4,CONTRADICTORY
_kakera46.txt,mati_o6,mati_o6,mati_o6,mati_o6,IDENTICAL
_mats_024.txt,mo1,mo1,mo1,mo1,IDENTICAL
tata_011_02.txt,mo1_01,mo1,mo1,mo1,IDENTICAL
_mats_024.txt,mo1_02,mo1,mo2,mo2,CONTRADICTORY
_mats_024.txt,mo2,mo2,mo2,mo2,MANUAL
onik_015_02.txt,mo2_01,mo2,mo1,mo1,CONTRADICTORY
_mats_024.txt,mo2_02,mo2,ymo1,ymo2,CONTRADICTORY
_mats_025.txt,mo3,mo3,mo3,mo3,IDENTICAL
_tsum_010.txt,mo3_01,mo3,mo3,mo3,IDENTICAL
_mats_024.txt,mo3_02,mo3,ymo3,ymo3,CONTRADICTORY
_mats_024.txt,mo4,mo4,mo4,mo4,IDENTICAL
onik_015_02.txt,mo4_01,mo4,mo4,mo4,IDENTICAL
_mats_024.txt,mo4_02,mo4,bg_144_mo1,bg_144_mo1,CONTRADICTORY
_mats_006.txt,mo4_04,mo4,NO_MATCH,mo4,AUTOMATIC
unknown,mo4_05,NO_MATCH,sora,sora,NAEGLES
hima_002.txt,mo_b1,sora,mo_b1,mo_b1,MANUAL
_mats_023.txt,mo_g1,mo_g1,mo_g1,mo_g1,IDENTICAL
_tsum_op.txt,mo_g1_01,mo_g1,mo_g1,mo_g1,IDENTICAL
_tsum_010.txt,mo_g2,mo_g2,mo_g2,mo_g2,IDENTICAL
onik_003.txt,mo_g2_01,mo_g2,mo_g2,mo_g2,IDENTICAL
_tsum_008.txt,mo_g3_01,mo_g4,mo_g3,mo_g3,CONTRADICTORY
_tsum_018.txt,mo_r1,mo_r1,NO_MATCH,mo_r1,AUTOMATIC
_tsum_010.txt,mo_r1_01,mo_r1,NO_MATCH,mo_r1,AUTOMATIC
_tsum_005.txt,mo_r1_02,mo_r1,NO_MATCH,mo_r1,AUTOMATIC
_tsum_020.txt,mo_r1_03,mo_r1,NO_MATCH,mo_r1,AUTOMATIC
_tsum_021.txt,mo_yg1,mo_yg4,mo_yg1,mo_yg1,NAEGLES
_kakera23.txt,mob1_01,mo_b1,NO_MATCH,mo_b1,AUTOMATIC
_mats_025.txt,moon,moon,moon,moon,IDENTICAL
_mina_ep.txt,moon_01,NO_MATCH,moon,moon,NAEGLES
_kakera51.txt,neki1_02,mati14,NO_MATCH,mati14,AUTOMATIC
unknown,no_data,NO_MATCH,no_data,no_data,NAEGLES
_mina_tips_012.txt,nort,nort,simen2,nort,CONTRADICTORY
_mats_017.txt,ohaka_02,so3,NO_MATCH,so3,AUTOMATIC
_mats_017.txt,oki_g3,oki_g3,oki_g3,oki_g3,IDENTICAL
_tsum_tips_014.txt,oni1,oni2,oni1,oni1,CONTRADICTORY
_tsum_013.txt,oyashirosama,NO_MATCH,black,black,NAEGLES
_mats_006.txt,re_g1,re_g1,NO_MATCH,re_g1,AUTOMATIC
_mats_006.txt,re_h1,re_h1,NO_MATCH,re_h1,AUTOMATIC
_tsum_018.txt,re_h3,re_h3,NO_MATCH,re_h3,AUTOMATIC
_tsum_018.txt,re_s2,re_s2_rena,NO_MATCH,re_s2_rena,AUTOMATIC
_tsum_009.txt,re_s4,re_s4,NO_MATCH,re_s4,AUTOMATIC
_kakera37.txt,re_s4_01,re_s3,re_s4,re_s4,NAEGLES
_mats_016.txt,re_tel,re_tel,NO_MATCH,re_tel,AUTOMATIC
unknown,red,NO_MATCH,red,red,EFFECT
_mats_025.txt,res1,re1,re3,re1,CONTRADICTORY
wata_005.txt,res1_01,re1,re3,re1,CONTRADICTORY
_mina_013.txt,res2,re2,re2,re2,IDENTICAL
_mina_013.txt,res4,re4,re4,re4,IDENTICAL
wata_002.txt,res4_01,re4,re4,re4,IDENTICAL
_mina_013.txt,res5,re5,re5,re5,IDENTICAL
wata_002.txt,res5_01,re5,re5,re5,IDENTICAL
_mats_025.txt,res_s1,re_s1_resut,bg_168,bg_168,CONTRADICTORY
wata_005.txt,res_s1_01,re_s2_resut,bg_168,bg_168,CONTRADICTORY
unknown,right,NO_MATCH,right,right,EFFECT
_kakera38.txt,rouka1,rouka1,rouka1,rouka1,IDENTICAL
_tsum_023_1.txt,rouka1_01,rouka2,NO_MATCH,rouka2,AUTOMATIC
_meak_017.txt,rouka1_02,rouka3,NO_MATCH,rouka3,AUTOMATIC
_tsum_023_1.txt,ryoutei2_01,ryoutei2,ima1,ryoutei2,CONTRADICTORY
_mats_002.txt,ryuuketu1,ryuuketu1,ryuuketu1,ryuuketu1,IDENTICAL
unknown,s_jump_back,NO_MATCH,s_jump_back,s_jump_back,NAEGLES
_mina_006.txt,saiguden_01,jsa3,jsa4,jsa3,CONTRADICTORY
wata_012_03.txt,saiguden_02,jsa3,jsa4,jsa3,CONTRADICTORY
_tsum_007.txt,saten1,saten1,NO_MATCH,saten1,AUTOMATIC
_tsum_007.txt,saten2,saten2,NO_MATCH,saten2,AUTOMATIC
unknown,scenario_a,NO_MATCH,scenario_a,scenario_a,NAEGLES
unknown,scenario_b,NO_MATCH,scenario_b,scenario_b,NAEGLES
unknown,scenario_b_j,NO_MATCH,scenario_b_j,scenario_b_j,NAEGLES
unknown,scenario_c,NO_MATCH,scenario_c,scenario_c,NAEGLES
unknown,scenario_c_j,NO_MATCH,scenario_c_j,scenario_c_j,NAEGLES
_tsum_019.txt,si_g1,si_h1,si_g1,si_g1,NAEGLES
_mats_020.txt,si_h2,si_h2,NO_MATCH,si_h2,AUTOMATIC
_mats_019.txt,si_h2_01,si_h2,NO_MATCH,si_h2,AUTOMATIC
_meak_ep_02.txt,si_h3,si_h3,NO_MATCH,si_h3,AUTOMATIC
_mats_002.txt,si_h6,si_h6,NO_MATCH,si_h6,AUTOMATIC
