ps3 sprite file, ps3 image, ryukishi best match, count of best match, confidence,all matches,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
_mina_tips_002.txt,hu_r1,Hu_R3,19,32%,19:Hu_R3,18:Hu_R1,18:Hu_R2,4:bg_062,1:bg_063,,,,,,,,,,,,
_mina_009_2.txt,hu_r4,Hu_R4,10,100%,10:Hu_R4,,,,,,,,,,,,,,,,
onik_015_02.txt,hu_tenjyou,bg_082,1,100%,1:bg_082,,,,,,,,,,,,,,,,
_tsum_008.txt,ie1,bg_066,8,47%,8:bg_066,3:bg_067,1:bg_019,1:bg_040,1:bg_120,1:bg_039,1:Ie2,1:Hi5,,,,,,,,,
_mina_020.txt,ie1_01,Ie2,2,67%,2:Ie2,1:bg_066,,,,,,,,,,,,,,,
_mina_018.txt,ima1,Ima1,8,80%,8:Ima1,1:bg_068,1:Ima3,,,,,,,,,,,,,,
_mina_018.txt,ima3,Heya4,6,40%,6:Heya4,6:Ima2,2:Ima3,1:Heya3,,,,,,,,,,,,,
hima_002_03.txt,jansou,bg_071,4,57%,4:bg_071,3:bg_072,,,,,,,,,,,,,,,
_tsum_012_1.txt,jd4,bg_010,19,83%,19:bg_010,2:JE4,1:JE1,1:JD4,,,,,,,,,,,,,
onik_009_02.txt,jd4_01,bg_010,1,50%,1:bg_010,1:bg_015,,,,,,,,,,,,,,,
_mina_021.txt,je1,bg_014,12,27%,12:bg_014,6:JE3,5:JE1,4:bg_016,4:JD3,3:bg_017,3:JE2,2:bg_015,2:bg_009,1:JD1,1:JD2,1:JE4,,,,,
_mina_021.txt,je2,bg_017,21,42%,21:bg_017,9:bg_015,7:JE2,4:JD3,3:bg_014,2:bg_007,1:bg_009,1:JE4,1:JD1,1:JE3,,,,,,,
_tsum_016.txt,ji1,bg_074,6,32%,6:bg_074,4:bg_078,2:bg_076,2:bg_151,1:bg_077,1:bg_075,1:Ji5,1:Hi1,1:Ji1,,,,,,,,
_mina_004.txt,ji1_01,bg_078,10,83%,10:bg_078,1:bg_151,1:Ji1,,,,,,,,,,,,,,
_mina_op.txt,ji2,bg_075,11,46%,11:bg_075,9:Ji2,2:Ji1,1:Ji3,1:JY2,,,,,,,,,,,,
_mina_004.txt,ji2_01,bg_075,8,57%,8:bg_075,2:bg_076,2:Ji3,1:Ji5,1:JS2,,,,,,,,,,,,
tata_004.txt,ji6,bg_077,5,50%,5:bg_077,4:bg_076,1:bg_078,,,,,,,,,,,,,,
_mina_020.txt,jok1,bg_151,2,40%,2:bg_151,2:JOK1,1:bg_085,,,,,,,,,,,,,,
_tsum_012_1.txt,jok2,bg_152,2,50%,2:bg_152,2:bg_085,,,,,,,,,,,,,,,
_mina_004.txt,js1,bg_079,2,40%,2:bg_079,2:bg_077,1:JS1,,,,,,,,,,,,,,
_mina_004.txt,js1_01,bg_078,2,29%,2:bg_078,2:JS1,1:bg_074,1:bg_213,1:bg_079,,,,,,,,,,,,
_mina_006.txt,js3,JS3,3,100%,3:JS3,,,,,,,,,,,,,,,,
_meak_016_2.txt,js3_01,bg_176,2,100%,2:bg_176,,,,,,,,,,,,,,,,
_mina_004.txt,js4,JS4,5,56%,5:JS4,4:JS3,,,,,,,,,,,,,,,
_mina_004.txt,js4_01,JS4,5,83%,5:JS4,1:bg_223,,,,,,,,,,,,,,,
_mina_017.txt,js4_02,JS4,21,43%,21:JS4,14:JS5,9:JS6,3:JYS1,1:JYS2,1:Heya6,,,,,,,,,,,
_mina_006.txt,jsa1,JSA1,4,50%,4:JSA1,2:JYSA1,1:bg_175,1:JSA3,,,,,,,,,,,,,
_mina_006.txt,jsa7,JSA7,8,26%,8:JSA7,6:Heya1,4:JSA4,4:Heya6,3:Heya4,1:bg_178,1:bg_034,1:bg_035,1:Heya5,1:Are4_nega1,1:JSA3,,,,,,
_mina_006.txt,jsa7_01,JSA4,3,60%,3:JSA4,1:bg_176,1:bg_178,,,,,,,,,,,,,,
_mina_020.txt,jt1,bg_216,8,57%,8:bg_216,2:bg_048,1:bg_203,1:bg_040,1:bg_052,1:JT1,,,,,,,,,,,
