last_file_found,ps3_name,auto,naegles,final_choice,status,ps3_path,ryukishi_path
unknown,logomask,NO_MATCH,logomask,logomask,NAEGLES,external\ps3\ep1\logomask.png,external\ryukishi\ep1\CG\logomask.png
unknown,m1,NO_MATCH,m1,m1,NAEGLES,external\ps3\ep1\m1.png,external\ryukishi\ep1\CG\m1.png
_tsum_017.txt,m_hi1,m_hi1,m_hi1,m_hi1,IDENTICAL,external\ps3\ep1\background\m_hi1.png,external\ryukishi\ep6\CG\m_hi1.png
_mina_020.txt,m_hi1_01,m_hi1,m_hi1,m_hi1,IDENTICAL,external\ps3\ep1\background\m_hi1_01.png,external\ryukishi\ep6\CG\m_hi1.png
_mats_025.txt,m_hi3,m_hi3,m_hi3,m_hi3,IDENTICAL,external\ps3\ep1\background\m_hi3.png,external\ryukishi\ep5\CG\m_hi3.png
_mina_016.txt,m_hi3_01,m_hi3,m_hi3,m_hi3,IDENTICAL,external\ps3\ep1\background\m_hi3_01.png,external\ryukishi\ep5\CG\m_hi3.png
_mats_017.txt,m_hi4,m_hi4,m_hi4,m_hi4,IDENTICAL,external\ps3\ep1\background\m_hi4.png,external\ryukishi\ep6\CG\m_hi4.png
_mats_025.txt,m_hi4_01,m_hi4,m_hi4,m_hi4,IDENTICAL,external\ps3\ep1\background\m_hi4_01.png,external\ryukishi\ep6\CG\m_hi4.png
_mina_009_2.txt,m_hi5,m_hi5,m_hi5,m_hi5,IDENTICAL,external\ps3\ep1\background\m_hi5.png,external\ryukishi\ep6\CG\m_hi5.png
_tsum_004.txt,m_hi5_01,m_hi5,m_hi5,m_hi5,IDENTICAL,external\ps3\ep1\background\m_hi5_01.png,external\ryukishi\ep6\CG\m_hi5.png
_mina_009_2.txt,m_hi6,m_hi6,m_hi6,m_hi6,IDENTICAL,external\ps3\ep1\background\m_hi6.png,external\ryukishi\ep5\CG\m_hi6.png
_kakera38.txt,m_hi6_01,m_hi6,m_hi6,m_hi6,IDENTICAL,external\ps3\ep3\background\m_hi6_01.png,external\ryukishi\ep5\CG\m_hi6.png
_mina_tips_005.txt,m_hi8,m_hi8,m_hi8,m_hi8,IDENTICAL,external\ps3\ep1\background\m_hi8.png,external\ryukishi\ep6\CG\m_hi8.png
_mina_ep.txt,m_y1,m_y1,m_y1,m_y1,IDENTICAL,external\ps3\ep1\background\m_y1.png,external\ryukishi\ep5\CG\m_y1.png
_mina_ep.txt,m_y2,m_y2,m_y2,m_y2,IDENTICAL,external\ps3\ep1\background\m_y2.png,external\ryukishi\ep6\CG\m_y2.png
tata_002.txt,m_y2_02,mati5,m_y2,m_y2,CONTRADICTORY,external\ps3\ep2\background\m_y2_02.png,external\ryukishi\ep6\CG\m_y2.png
_mats_006.txt,m_y2_04,m_y2,m_y2,m_y2,IDENTICAL,external\ps3\ep3\background\m_y2_04.png,external\ryukishi\ep6\CG\m_y2.png
_mina_op.txt,m_y4,m_y4,m_y4,m_y4,IDENTICAL,external\ps3\ep1\background\m_y4.png,external\ryukishi\ep5\CG\m_y4.png
unknown,m_y4_01,NO_MATCH,m_y4,m_y4,NAEGLES,external\ps3\ep4\background\m_y4_01.png,external\ryukishi\ep5\CG\m_y4.png
_mats_006.txt,m_y4_04,m_y4,NO_MATCH,m_y4,AUTOMATIC,external\ps3\ep8\background\m_y4_04.png,external\ryukishi\ep5\CG\m_y4.png
_mina_ep.txt,m_y7,m_y5,m_y7,m_y7,CONTRADICTORY,external\ps3\ep2\background\m_y7.png,external\ryukishi\ep5\CG\m_y7.png
_mats_015.txt,ma1,ma1,ma1,ma1,IDENTICAL,external\ps3\ep1\background\ma1.png,external\ryukishi\ep6\CG\ma1.png
tata_012.txt,ma1_01,ma1,ma1,ma1,IDENTICAL,external\ps3\ep3\background\ma1_01.png,external\ryukishi\ep6\CG\ma1.png
_mina_020.txt,ma1_02,ma1,ma1,ma1,IDENTICAL,external\ps3\ep1\background\ma1_02.png,external\ryukishi\ep6\CG\ma1.png
_mina_011_1.txt,ma2,ma2,ma2,ma2,IDENTICAL,external\ps3\ep1\background\ma2.png,external\ryukishi\ep5\CG\ma2.png
tata_012.txt,ma2_01,ma2,ma2,ma2,IDENTICAL,external\ps3\ep1\background\ma2_01.png,external\ryukishi\ep5\CG\ma2.png
_tsum_tips_012.txt,ma3,ma3,ma3,ma3,IDENTICAL,external\ps3\ep1\background\ma3.png,external\ryukishi\ep6\CG\ma3.png
tata_012.txt,ma3_01,ma3,ma3,ma3,IDENTICAL,external\ps3\ep3\background\ma3_01.png,external\ryukishi\ep6\CG\ma3.png
_tsum_004.txt,ma3_02,ma4,ma3,ma3,CONTRADICTORY,external\ps3\ep3\background\ma3_02.png,external\ryukishi\ep6\CG\ma3.png
_tsum_023_2.txt,ma5,ma5,ma5,ma5,IDENTICAL,external\ps3\ep3\background\ma5.png,external\ryukishi\ep5\CG\ma5.png
tata_011_03.txt,ma5_01,ma5,ma5,ma5,IDENTICAL,external\ps3\ep3\background\ma5_01.png,external\ryukishi\ep5\CG\ma5.png
_mina_003_1.txt,ma_d1,ma_d1,ma_d1,ma_d1,IDENTICAL,external\ps3\ep1\background\ma_d1.png,external\ryukishi\ep6\CG\ma_d1.png
_tsum_022.txt,ma_d1_01,NO_MATCH,ma_d1,ma_d1,NAEGLES,external\ps3\ep1\background\ma_d1_01.png,external\ryukishi\ep6\CG\ma_d1.png
